days	Date	N1	S1	Nq1	dEm1	CummulativeEm	dEq1	CummulativeEq	dIa1	CummulativeIa	dIm1	CummulativeIm	dIq1	CummulativeIq	dHa1	CummulativeHa	dHs1	CummulativeHs	ddR1	CummulativeR		
184	25-Jul	8043718	8020189	22917	130	1900	202	10962	20	661	80	1574	2	585	21	600	107	1862	50	1473		
185	26-Jul	8041707	8019220	21943	118	2018	177	11139	14	675	96	1670	1	586	26	626	92	1954	20	1493		
186	27-Jul	8041315	8019879	20862	142	2160	131	11270	20	695	125	1795	0	586	15	641	126	2080	15	1508		
187	28-Jul	8039462	8018638	20280	104	2264	175	11445	20	715	100	1895	1	587	20	661	82	2162	42	1550		
188	29-Jul	8036107	8016632	18924	115	2379	138	11583	15	730	107	2002	0	587	14	675	97	2259	65	1615		
189	30-Jul	8033520	8014725	18185	148	2527	134	11717	18	748	94	2096	1	588	20	695	125	2384	70	1685		
190	31-Jul	8029830	8011872	17372	120	2647	173	11890	11	759	67	2163	0	588	20	715	101	2485	94	1779		
191	1-Aug	8026548	8008920	17022	124	2771	168	12058	20	779	60	2223	0	588	15	730	107	2592	112	1891		
192	2-Aug	8024422	8007225	16639	115	2886	143	12201	18	797	65	2288	1	589	18	748	95	2687	103	1994		
193	3-Aug	8023634	8006782	16341	80	2966	177	12378	26	823	68	2356	0	589	11	759	67	2754	82	2076		
194	4-Aug	8021986	8005180	16256	80	3046	194	12572	20	843	68	2424	1	590	20	779	60	2814	107	2183		
195	5-Aug	8019773	8003481	15724	84	3130	157	12729	15	858	54	2478	0	590	18	797	66	2880	174	2357		
196	6-Aug	8016368	8000154	15650	95	3225	156	12885	20	878	52	2530	0	590	26	823	68	2948	147	2504		
197	7-Aug	8014751	7998962	15286	88	3313	94	12979	22	900	47	2577	0	590	20	843	69	3017	163	2667		
198	8-Aug	8012899	7997081	15399	69	3382	113	13092	7	907	26	2603	0	590	15	858	54	3071	135	2802		
199	9-Aug	8011533	7995734	15382	72	3454	114	13206	5	912	57	2660	0	590	20	878	52	3123	97	2899		
200	10-Aug	8011191	7995135	15669	69	3523	106	13312	17	929	52	2712	0	590	22	900	47	3170	74	2973		
201	11-Aug	8010143	7994176	15612	33	3556	104	13416	24	953	23	2735	0	590	7	907	26	3196	138	3111		
202	12-Aug	8008681	7992457	15817	62	3618	97	13513	12	965	32	2767	1	591	5	912	57	3253	141	3252		
203	13-Aug	8007183	7990461	16332	69	3687	69	13582	26	991	48	2815	0	591	17	929	52	3305	109	3361		
204	14-Aug	8005694	7988712	16659	48	3735	86	13668	21	1012	20	2835	3	594	24	953	23	3328	98	3459		
205	15-Aug	8004265	7986811	17173	44	3779	58	13726	12	1024	24	2859	0	594	12	965	33	3361	98	3557		
206	16-Aug	8003355	7985388	17652	74	3853	80	13806	10	1034	16	2875	0	594	26	991	48	3409	61	3618		
207	17-Aug	8003292	7984768	18295	41	3894	76	13882	7	1041	11	2886	0	594	21	1012	23	3432	50	3668		
208	18-Aug	8002151	7983531	18387	36	3930	54	13936	9	1050	15	2901	3	597	12	1024	24	3456	80	3748		
209	19-Aug	8001094	7982718	18151	26	3956	44	13980	6	1056	20	2921	0	597	10	1034	16	3472	103	3851		
210	20-Aug	8000164	7981233	18788	18	3974	31	14011	12	1068	13	2934	0	597	7	1041	11	3483	51	3902		
211	21-Aug	7998858	7979581	19096	24	3998	48	14059	3	1071	6	2940	0	597	9	1050	18	3501	73	3975		
212	22-Aug	7997316	7978018	19118	26	4024	33	14092	4	1075	14	2954	1	598	6	1056	20	3521	76	4051		
213	23-Aug	7996438	7976660	19620	25	4049	40	14132	10	1085	14	2968	0	598	12	1068	13	3534	44	4095		
